class_index,class_name,num_samples,num_correct,num_incorrect,accuracy,error_rate,average_confidence,avg_confidence_correct,avg_confidence_incorrect
0,airplane,1000,938,62,0.938,0.062,0.92128738366,0.9391040803091685,0.6517380053225805
1,automobile,1000,955,45,0.955,0.045,0.95078159144,0.9644471563874345,0.6607679353333333
2,bird,1000,792,208,0.792,0.208,0.83354642153,0.8777420279292929,0.6652631510096152
3,cat,1000,651,349,0.651,0.349,0.7155166306999999,0.7656108190015362,0.6220744628366762
4,deer,1000,807,193,0.807,0.193,0.8265665762800001,0.8722185730731102,0.6356797295854922
5,dog,1000,735,265,0.735,0.265,0.77000099731,0.8202663210068027,0.6305858542264151
6,frog,1000,873,127,0.873,0.127,0.87953463024,0.9152868123482245,0.6337735674015748
7,horse,1000,716,284,0.716,0.284,0.77110072787,0.8473889878770949,0.5787683540492956
8,ship,1000,821,179,0.821,0.179,0.88400991845,0.9302101650669914,0.6721082286592178
9,truck,1000,837,163,0.837,0.163,0.89058113642,0.9288714180286739,0.6939617149079754
