bin_index,bin_range,num_predictions,num_correct,num_incorrect,bin_accuracy,bin_error_rate,average_confidence
0,"[0.0, 0.1)",0,0,0,0.0,0.0,0.05
1,"[0.1, 0.2)",1,0,1,0.0,1.0,0.1781634
2,"[0.2, 0.3)",60,18,42,0.3,0.7,0.27177099699999996
3,"[0.3, 0.4)",274,97,177,0.354014598540146,0.6459854014598541,0.35622023248175183
4,"[0.4, 0.5)",532,224,308,0.42105263157894735,0.5789473684210527,0.45251831460526315
5,"[0.5, 0.6)",706,362,344,0.5127478753541076,0.48725212464589235,0.5499469763739377
6,"[0.6, 0.7)",700,396,304,0.5657142857142857,0.4342857142857143,0.6492082174142857
7,"[0.7, 0.8)",821,590,231,0.7186358099878197,0.28136419001218027,0.7518730018879415
8,"[0.8, 0.9)",1094,869,225,0.7943327239488117,0.2056672760511883,0.8544142170201096
9,"[0.9, 1.0]",5812,5569,243,0.9581899518238128,0.0418100481761872,0.9795891772419134
