shift,severity,accuracy,macro_precision,macro_recall,macro_f1,average_confidence,correct_count,incorrect_count,accuracy_drop,confidence_change
clean,0,0.8125,0.8257732158396138,0.8125,0.8135990917472465,0.8442925810813904,8125,1875,0.0,0.0
blur,1,0.7854,0.8082602095298069,0.7854,0.7897275613268928,0.8147796988487244,7854,2146,0.027100000000000013,-0.029512882232666016
blur,2,0.499,0.6864929229043596,0.49899999999999994,0.4981015414088277,0.6846974492073059,4990,5010,0.3135,-0.15959513187408447
blur,3,0.312,0.5949364378877027,0.31199999999999994,0.2474045308262157,0.639967679977417,3120,6880,0.5005,-0.2043249011039734
blur,4,0.3022,0.5520756609256716,0.30219999999999997,0.23068871799119023,0.6287813186645508,3022,6978,0.5103,-0.2155112624168396
blur,5,0.3033,0.5386532741485898,0.3033,0.2304754317170028,0.6235234141349792,3033,6967,0.5092,-0.22076916694641113
noise,1,0.6591,0.7465010666810513,0.6590999999999999,0.6530130155495365,0.7690882086753845,6591,3409,0.15339999999999998,-0.07520437240600586
noise,2,0.3727,0.6399902371532316,0.37270000000000003,0.3448725204002117,0.6617544889450073,3727,6273,0.4398,-0.18253809213638306
noise,3,0.2373,0.5265527724453649,0.2373,0.19543053762240345,0.5880295038223267,2373,7627,0.5751999999999999,-0.2562630772590637
noise,4,0.1889,0.35539489119024126,0.18889999999999998,0.14054747304059464,0.5410115122795105,1889,8111,0.6235999999999999,-0.3032810688018799
noise,5,0.1725,0.14860458031161472,0.17250000000000001,0.11790492338539135,0.4990907609462738,1725,8275,0.64,-0.3452018201351166
brightness,1,0.8096,0.8247834492761342,0.8096,0.8111103081428792,0.8389129042625427,8096,1904,0.0029000000000000137,-0.005379676818847656
brightness,2,0.7937,0.8134946372632509,0.7937,0.7952034608483057,0.8262552618980408,7937,2063,0.01880000000000004,-0.01803731918334961
brightness,3,0.7696,0.7971670918817779,0.7695999999999998,0.7713317299587877,0.8024691343307495,7696,2304,0.04290000000000005,-0.04182344675064087
brightness,4,0.7049,0.7634405039666067,0.7049,0.7061913294665584,0.7536521553993225,7049,2951,0.10760000000000003,-0.09064042568206787
brightness,5,0.4956,0.6771554926094236,0.49559999999999993,0.47957855620801293,0.6116426587104797,4956,5044,0.3169,-0.23264992237091064
contrast,1,0.809,0.8249505431143698,0.8089999999999999,0.810675611768232,0.8406497836112976,8090,1910,0.0034999999999999476,-0.0036427974700927734
contrast,2,0.7937,0.8159134526772874,0.7937000000000001,0.7956264871378206,0.8306189179420471,7937,2063,0.01880000000000004,-0.013673663139343262
contrast,3,0.7601,0.7947010336385605,0.7601,0.762853737402323,0.8071420192718506,7601,2399,0.0524,-0.037150561809539795
contrast,4,0.683,0.7517387945499094,0.683,0.6833528648726472,0.7507887482643127,6830,3170,0.12949999999999995,-0.09350383281707764
contrast,5,0.4515,0.6602568791278712,0.45149999999999996,0.42374415992861464,0.634099006652832,4515,5485,0.361,-0.21019357442855835
rotation,1,0.7698,0.7937200648985538,0.7698,0.7716895558520324,0.7981383204460144,7698,2302,0.04269999999999996,-0.04615426063537598
rotation,2,0.7135,0.7455679269273292,0.7135,0.7130626882572199,0.762029767036438,7135,2865,0.09899999999999998,-0.08226281404495239
rotation,3,0.5967,0.6769661518255738,0.5966999999999999,0.5964569109434933,0.702049195766449,5967,4033,0.2158,-0.1422433853149414
rotation,4,0.3126,0.5995255138458453,0.3126,0.30598877762784465,0.7264671921730042,3126,6874,0.4999,-0.11782538890838623
rotation,5,0.3088,0.5771598504836167,0.3088,0.2779056717899787,0.7140646576881409,3088,6912,0.5037,-0.1302279233932495
