sample_index,true_label,true_class,predicted_label,predicted_class,confidence,shift,severity
8218,9,truck,6,frog,0.99995816,rotation,5
8218,9,truck,6,frog,0.9999418,rotation,4
2226,2,bird,6,frog,0.9998878,rotation,3
971,4,deer,6,frog,0.99982625,rotation,5
1911,4,deer,6,frog,0.9998242,rotation,5
6369,9,truck,6,frog,0.999747,rotation,5
5266,4,deer,6,frog,0.9997445,rotation,5
2226,2,bird,6,frog,0.9997372,rotation,5
5057,2,bird,6,frog,0.99973196,rotation,5
6498,4,deer,6,frog,0.99972993,rotation,4
5511,3,cat,6,frog,0.99968207,rotation,4
2226,2,bird,6,frog,0.9996666,rotation,4
3957,9,truck,0,airplane,0.9996178,contrast,2
1341,4,deer,6,frog,0.99960107,rotation,5
3988,1,automobile,6,frog,0.9995505,rotation,4
4337,1,automobile,6,frog,0.99954224,rotation,4
3957,9,truck,0,airplane,0.9995228,brightness,1
3957,9,truck,0,airplane,0.99950576,contrast,1
3957,9,truck,0,airplane,0.99950147,contrast,3
1619,4,deer,6,frog,0.9994881,rotation,5
6429,8,ship,6,frog,0.9994772,rotation,4
2625,2,bird,6,frog,0.99946266,rotation,4
7031,0,airplane,6,frog,0.9994106,rotation,4
5416,9,truck,1,automobile,0.99941003,brightness,4
3988,1,automobile,6,frog,0.9994073,rotation,5
5403,7,horse,6,frog,0.9993974,rotation,5
5416,9,truck,1,automobile,0.99933916,brightness,3
3957,9,truck,0,airplane,0.9993266,clean,0
5029,3,cat,6,frog,0.99932504,rotation,5
6015,0,airplane,6,frog,0.9993067,rotation,4
1837,9,truck,6,frog,0.9993044,rotation,5
564,2,bird,6,frog,0.9993032,rotation,4
6429,8,ship,6,frog,0.99929225,rotation,5
3957,9,truck,0,airplane,0.9992872,brightness,2
2405,3,cat,6,frog,0.9992494,rotation,5
9643,9,truck,0,airplane,0.9992424,brightness,1
9643,9,truck,0,airplane,0.9992387,brightness,2
8456,4,deer,6,frog,0.9992379,rotation,5
4832,4,deer,6,frog,0.9991911,rotation,5
5511,3,cat,6,frog,0.9991726,rotation,5
2845,5,dog,6,frog,0.9991516,rotation,5
2226,2,bird,6,frog,0.9991352,noise,1
1258,1,automobile,6,frog,0.9991153,rotation,5
5416,9,truck,1,automobile,0.9991142,noise,1
689,0,airplane,6,frog,0.9990941,rotation,4
5416,9,truck,1,automobile,0.9990859,brightness,2
3854,8,ship,6,frog,0.99908054,rotation,4
7927,7,horse,6,frog,0.99904126,rotation,5
2405,3,cat,6,frog,0.9990402,noise,1
354,2,bird,6,frog,0.9990362,rotation,5
5511,3,cat,6,frog,0.999032,brightness,1
3989,2,bird,6,frog,0.99901307,rotation,5
4448,4,deer,6,frog,0.9990049,rotation,4
6866,4,deer,6,frog,0.99900025,rotation,5
3854,8,ship,6,frog,0.99899703,rotation,5
7815,0,airplane,6,frog,0.9989868,rotation,4
2255,1,automobile,6,frog,0.9989737,rotation,4
6383,3,cat,6,frog,0.9989679,rotation,5
2405,3,cat,6,frog,0.99895513,rotation,1
9740,3,cat,6,frog,0.9989164,rotation,5
3928,3,cat,6,frog,0.9989153,rotation,4
5511,3,cat,6,frog,0.9989089,brightness,2
6182,1,automobile,6,frog,0.9988871,rotation,4
2721,8,ship,6,frog,0.99888533,rotation,5
665,8,ship,0,airplane,0.99888235,clean,0
9088,2,bird,6,frog,0.998862,rotation,4
9252,7,horse,6,frog,0.99883705,rotation,5
3443,4,deer,2,bird,0.99880683,blur,2
4448,4,deer,6,frog,0.99880683,rotation,5
9643,9,truck,0,airplane,0.99877995,contrast,1
2409,4,deer,6,frog,0.9987797,rotation,5
6757,4,deer,6,frog,0.9987747,rotation,5
9643,9,truck,0,airplane,0.9987696,contrast,2
3928,3,cat,6,frog,0.99875724,rotation,5
5416,9,truck,1,automobile,0.9987544,brightness,1
2676,4,deer,6,frog,0.99875057,rotation,5
5511,3,cat,6,frog,0.99873084,clean,0
2405,3,cat,6,frog,0.9987091,rotation,3
3957,9,truck,0,airplane,0.9986822,blur,1
5202,9,truck,6,frog,0.9986519,rotation,4
6016,4,deer,6,frog,0.9986249,rotation,5
1837,9,truck,6,frog,0.9986085,rotation,4
3524,5,dog,4,deer,0.9986078,contrast,2
5739,2,bird,6,frog,0.99859935,rotation,4
3524,5,dog,4,deer,0.998594,contrast,1
6497,4,deer,6,frog,0.9985656,rotation,5
5057,2,bird,6,frog,0.9985642,rotation,4
6526,8,ship,6,frog,0.9985146,rotation,4
450,2,bird,6,frog,0.99847263,rotation,4
7958,5,dog,6,frog,0.9984705,rotation,5
5511,3,cat,6,frog,0.99843603,contrast,1
9503,2,bird,6,frog,0.99843067,rotation,5
3524,5,dog,4,deer,0.9984193,clean,0
5494,9,truck,6,frog,0.9984054,rotation,4
6369,9,truck,6,frog,0.99840313,rotation,4
7129,1,automobile,6,frog,0.99840087,rotation,4
6995,1,automobile,6,frog,0.99839324,rotation,4
665,8,ship,0,airplane,0.99835664,contrast,1
669,3,cat,2,bird,0.9983399,blur,5
8642,3,cat,6,frog,0.9983169,rotation,5
6726,3,cat,6,frog,0.9982955,rotation,4
5416,9,truck,1,automobile,0.99828476,clean,0
2226,2,bird,6,frog,0.9982711,noise,2
9426,2,bird,6,frog,0.998257,rotation,5
5511,3,cat,6,frog,0.99825174,noise,1
9740,3,cat,6,frog,0.9982419,rotation,4
2940,3,cat,0,airplane,0.9982278,rotation,1
8370,4,deer,6,frog,0.9982273,clean,0
2226,2,bird,6,frog,0.9982192,rotation,1
5009,7,horse,2,bird,0.99820936,rotation,2
2629,2,bird,6,frog,0.9982034,rotation,4
3580,4,deer,6,frog,0.9981833,rotation,5
1619,4,deer,6,frog,0.9981811,rotation,4
6253,5,dog,6,frog,0.99817693,rotation,5
2405,3,cat,6,frog,0.99817395,clean,0
8301,5,dog,6,frog,0.9981723,rotation,5
7815,0,airplane,6,frog,0.99815065,rotation,5
3524,5,dog,4,deer,0.998139,contrast,3
8932,6,frog,2,bird,0.9981371,brightness,3
5024,1,automobile,6,frog,0.99813443,rotation,5
3524,5,dog,4,deer,0.9981329,brightness,1
2226,2,bird,6,frog,0.9981013,rotation,2
9163,4,deer,6,frog,0.9980829,rotation,5
3524,5,dog,4,deer,0.9980477,brightness,2
8370,4,deer,6,frog,0.998041,brightness,1
4383,4,deer,6,frog,0.99804085,rotation,5
831,3,cat,6,frog,0.99803156,rotation,4
4832,4,deer,6,frog,0.9980196,rotation,4
7519,2,bird,6,frog,0.99801767,rotation,5
8773,6,frog,2,bird,0.9980173,contrast,2
9643,9,truck,0,airplane,0.99800843,brightness,3
260,8,ship,6,frog,0.99800617,rotation,4
7927,7,horse,6,frog,0.9979965,rotation,4
1953,4,deer,6,frog,0.99799037,rotation,4
9325,6,frog,2,bird,0.9979837,blur,5
2759,3,cat,6,frog,0.9979792,rotation,4
2940,3,cat,0,airplane,0.99797875,clean,0
669,3,cat,2,bird,0.99797755,blur,4
2226,2,bird,6,frog,0.9979748,clean,0
887,1,automobile,6,frog,0.99797255,rotation,4
6053,4,deer,6,frog,0.99794096,rotation,4
9715,4,deer,6,frog,0.9979366,rotation,5
5416,9,truck,1,automobile,0.99792284,contrast,1
5023,2,bird,6,frog,0.9979206,rotation,5
6849,4,deer,2,bird,0.9979183,blur,5
2405,3,cat,6,frog,0.9979133,noise,3
9643,9,truck,0,airplane,0.99787426,clean,0
9325,6,frog,2,bird,0.99787307,blur,4
3524,5,dog,4,deer,0.99787164,brightness,3
5009,7,horse,2,bird,0.99785787,brightness,1
5511,3,cat,6,frog,0.99785763,brightness,3
8932,6,frog,2,bird,0.99785644,brightness,2
8536,1,automobile,0,airplane,0.9978544,contrast,4
3028,1,automobile,6,frog,0.99783546,rotation,4
1095,2,bird,6,frog,0.99783164,rotation,5
665,8,ship,0,airplane,0.9978284,brightness,1
3402,4,deer,6,frog,0.99782664,rotation,5
4649,8,ship,0,airplane,0.9977841,rotation,2
4097,3,cat,6,frog,0.9977823,rotation,4
4043,3,cat,6,frog,0.9977718,rotation,4
8370,4,deer,6,frog,0.99776804,noise,1
1341,4,deer,6,frog,0.9977671,rotation,4
8612,4,deer,6,frog,0.9977563,rotation,4
6383,3,cat,6,frog,0.99775547,rotation,4
8686,9,truck,6,frog,0.99775165,rotation,4
3957,9,truck,0,airplane,0.9977508,contrast,4
2845,5,dog,6,frog,0.99774784,rotation,4
3957,9,truck,0,airplane,0.99774545,rotation,1
3559,4,deer,6,frog,0.997733,rotation,5
4376,7,horse,6,frog,0.99772054,rotation,4
8536,1,automobile,0,airplane,0.9976751,contrast,5
8019,3,cat,6,frog,0.99764305,noise,2
9643,9,truck,0,airplane,0.99762255,blur,1
5029,3,cat,6,frog,0.99761105,rotation,3
1095,2,bird,6,frog,0.9976071,rotation,4
6396,4,deer,6,frog,0.99760455,rotation,4
8102,3,cat,6,frog,0.9975776,rotation,5
8370,4,deer,6,frog,0.9975579,brightness,2
2690,2,bird,6,frog,0.9975567,rotation,4
9982,2,bird,6,frog,0.9975389,rotation,4
8773,6,frog,2,bird,0.99753547,contrast,1
2532,0,airplane,1,automobile,0.9975188,clean,0
2405,3,cat,6,frog,0.9975164,brightness,1
8642,3,cat,6,frog,0.99751246,rotation,4
568,9,truck,6,frog,0.9974827,rotation,5
5416,9,truck,1,automobile,0.99747735,brightness,5
6557,9,truck,6,frog,0.99746585,rotation,4
2940,3,cat,0,airplane,0.99745816,contrast,1
7797,3,cat,6,frog,0.9974439,rotation,5
1491,4,deer,6,frog,0.99743587,rotation,5
5009,7,horse,2,bird,0.9974222,clean,0
5416,9,truck,1,automobile,0.99739635,contrast,2
7093,2,bird,6,frog,0.9973928,rotation,4
2472,5,dog,6,frog,0.99737036,rotation,4
4998,5,dog,6,frog,0.9973688,rotation,4
2413,4,deer,6,frog,0.9973627,rotation,4
2482,9,truck,6,frog,0.9973483,rotation,5
6866,4,deer,6,frog,0.99734384,rotation,4
9325,6,frog,2,bird,0.9973404,blur,3
2219,5,dog,6,frog,0.99733716,rotation,5
2226,2,bird,6,frog,0.99733233,brightness,1
5455,9,truck,6,frog,0.99732924,rotation,4
2405,3,cat,6,frog,0.99731356,rotation,2
1151,2,bird,6,frog,0.99730045,rotation,5
6849,4,deer,2,bird,0.9972951,blur,4
705,4,deer,6,frog,0.99729246,rotation,5
5009,7,horse,2,bird,0.99728465,contrast,1
9436,1,automobile,6,frog,0.99728084,rotation,4
2550,4,deer,6,frog,0.99726874,rotation,4
2441,4,deer,6,frog,0.9972594,rotation,4
6913,3,cat,6,frog,0.997248,rotation,5
8773,6,frog,2,bird,0.9972222,contrast,3
2226,2,bird,6,frog,0.99720997,brightness,2
669,3,cat,2,bird,0.9972052,blur,3
665,8,ship,0,airplane,0.9972011,contrast,2
8456,4,deer,6,frog,0.997182,rotation,4
8462,2,bird,6,frog,0.9971763,rotation,5
5511,3,cat,6,frog,0.9971601,contrast,2
9694,1,automobile,6,frog,0.997157,rotation,4
7685,9,truck,0,airplane,0.99715674,blur,2
7958,5,dog,6,frog,0.9971464,rotation,4
6726,3,cat,6,frog,0.9971373,rotation,5
2000,1,automobile,6,frog,0.9971306,rotation,5
5270,1,automobile,6,frog,0.9971173,rotation,5
7641,7,horse,6,frog,0.997115,rotation,5
3957,9,truck,0,airplane,0.9970854,brightness,3
2405,3,cat,6,frog,0.99708265,contrast,1
3524,5,dog,4,deer,0.9970452,noise,1
5009,7,horse,2,bird,0.9970451,brightness,2
564,2,bird,6,frog,0.99704236,rotation,5
5642,5,dog,4,deer,0.9970395,brightness,4
7602,2,bird,6,frog,0.9970198,rotation,5
9498,3,cat,6,frog,0.99701524,rotation,4
2472,5,dog,6,frog,0.99701095,rotation,5
2442,4,deer,6,frog,0.99697816,rotation,5
1148,2,bird,6,frog,0.99697685,rotation,5
3895,1,automobile,6,frog,0.9969759,rotation,4
9697,8,ship,0,airplane,0.9969722,rotation,2
9896,4,deer,6,frog,0.9969632,rotation,4
1277,2,bird,6,frog,0.99695,rotation,4
3460,1,automobile,6,frog,0.99694437,rotation,4
6498,4,deer,6,frog,0.9969414,rotation,5
4163,2,bird,6,frog,0.99693006,rotation,4
2932,9,truck,6,frog,0.99692804,rotation,4
8209,2,bird,6,frog,0.9969177,rotation,4
7243,1,automobile,6,frog,0.996917,rotation,4
3113,3,cat,6,frog,0.99691355,rotation,4
2532,0,airplane,1,automobile,0.9969022,brightness,1
5023,2,bird,6,frog,0.9968995,rotation,4
1595,3,cat,6,frog,0.996894,noise,2
9982,2,bird,6,frog,0.9968811,rotation,5
707,9,truck,6,frog,0.9968548,rotation,4
689,0,airplane,6,frog,0.9968539,rotation,5
8370,4,deer,6,frog,0.99684167,brightness,3
6218,9,truck,6,frog,0.99683964,rotation,5
1911,4,deer,6,frog,0.99683017,rotation,4
8218,9,truck,6,frog,0.9968297,rotation,3
6458,2,bird,6,frog,0.99682885,rotation,5
641,3,cat,6,frog,0.9968232,rotation,5
4337,1,automobile,6,frog,0.9968162,rotation,5
5642,5,dog,4,deer,0.9968076,brightness,3
5134,5,dog,6,frog,0.99680674,noise,1
2705,8,ship,0,airplane,0.9968029,rotation,2
2145,7,horse,4,deer,0.99679834,noise,1
7505,7,horse,6,frog,0.9967949,rotation,5
2242,2,bird,6,frog,0.9967924,rotation,5
5792,2,bird,6,frog,0.99679214,rotation,5
8961,0,airplane,6,frog,0.9967908,rotation,4
9711,4,deer,6,frog,0.9967847,rotation,5
6308,4,deer,6,frog,0.9967769,rotation,5
1258,1,automobile,6,frog,0.99677026,rotation,4
165,4,deer,2,bird,0.9967624,blur,2
9088,2,bird,6,frog,0.9967525,rotation,5
7472,1,automobile,0,airplane,0.9967458,contrast,5
9808,1,automobile,6,frog,0.9967391,rotation,4
4523,4,deer,6,frog,0.99673563,rotation,4
5004,4,deer,6,frog,0.9967355,rotation,5
196,8,ship,6,frog,0.99672925,rotation,4
3450,9,truck,6,frog,0.9967121,rotation,4
5623,8,ship,6,frog,0.9966844,rotation,4
5009,7,horse,2,bird,0.9966743,contrast,2
1480,1,automobile,6,frog,0.9966665,rotation,4
7839,3,cat,4,deer,0.99664223,contrast,2
3524,5,dog,4,deer,0.996639,brightness,4
2405,3,cat,6,frog,0.9966319,brightness,2
3988,1,automobile,6,frog,0.9966281,rotation,3
6339,3,cat,6,frog,0.9966008,rotation,4
5786,4,deer,6,frog,0.9965849,rotation,5
4965,3,cat,6,frog,0.99655557,rotation,5
8257,3,cat,6,frog,0.9965502,rotation,5
2226,2,bird,6,frog,0.9965385,brightness,3
665,8,ship,0,airplane,0.9965262,blur,1
2405,3,cat,6,frog,0.99652416,rotation,4
5416,9,truck,1,automobile,0.99651426,blur,1
3607,3,cat,2,bird,0.9965126,rotation,1
