sample_index,shift,severity,true_label,predicted_label,correctness,confidence,entropy,feature_distance,ood_score,augmentation_consistency,brightness,contrast,sharpness,composite_quality
0,clean,0,3,3,1,0.8831099,0.39227343,9.206632,-7.4505806e-08,1.0,0.42504337,0.18294924,0.07154188,0.39104557
1,clean,0,8,8,1,0.9955792,0.029195713,19.077568,-2.0489097e-08,1.0,0.6082759,0.30809838,0.10030161,0.3255495
2,clean,0,8,1,0,0.64700913,0.69200957,14.21142,5.9604645e-08,0.33333334,0.51987845,0.25704902,0.06364918,0.24761397
3,clean,0,0,0,1,0.7444008,0.6442655,10.438382,5.9604645e-08,1.0,0.6070938,0.22121957,0.067086086,0.30325428
4,clean,0,6,6,1,0.9995937,0.0040237037,10.900036,1.3277167e-07,1.0,0.42105544,0.1638754,0.074604824,0.45525056
5,clean,0,6,6,1,0.54782224,0.91261375,12.308224,0.0,1.0,0.38357207,0.17681447,0.043903533,0.24830143
6,clean,0,1,1,1,0.97722864,0.13004673,10.805934,-1.322478e-07,1.0,0.2965571,0.25585943,0.06016702,0.2351556
7,clean,0,6,6,1,0.5502115,0.9192298,8.701799,-1.1920929e-07,0.6666667,0.34021652,0.1691371,0.027972689,0.16538373
8,clean,0,3,3,1,0.9435718,0.24509336,10.574142,-2.1234155e-07,1.0,0.6265025,0.17089038,0.065926656,0.38578105
9,clean,0,1,1,1,0.9198479,0.30182394,9.35307,2.2351742e-08,1.0,0.565371,0.24861418,0.11191385,0.4501489
10,clean,0,0,0,1,0.9944022,0.039896987,7.7256274,1.9557774e-08,1.0,0.5503575,0.12214682,0.039532896,0.32364798
11,clean,0,9,9,1,0.9997453,0.0023624846,23.378746,-5.2677933e-09,1.0,0.5179586,0.25203294,0.14209996,0.5638128
12,clean,0,5,5,1,0.8738757,0.51537144,9.1983595,7.4505806e-08,1.0,0.36390677,0.20658462,0.03798568,0.18387379
13,clean,0,7,7,1,0.902879,0.414172,7.454255,2.2351742e-08,1.0,0.28788808,0.28731045,0.07790999,0.2711691
14,clean,0,9,9,1,0.99971956,0.0026279294,11.335715,-1.9063009e-08,1.0,0.42960453,0.21599552,0.120244764,0.55669767
15,clean,0,8,8,1,0.9793276,0.12633915,8.526875,-3.7252903e-09,1.0,0.49911663,0.2101308,0.07700529,0.36646187
16,clean,0,5,5,1,0.7239102,0.6727545,9.199164,0.0,1.0,0.5011106,0.29945332,0.07545489,0.2519746
17,clean,0,7,7,1,0.86370724,0.5651662,10.84829,-8.940697e-08,1.0,0.5141646,0.20989184,0.08717115,0.41531265
18,clean,0,8,8,1,0.9986663,0.011526539,9.99859,6.7520887e-09,1.0,0.54548484,0.35331017,0.0861942,0.24396116
19,clean,0,6,6,1,0.9997008,0.0030233122,11.858903,2.9656803e-08,1.0,0.42731822,0.21939307,0.07430735,0.33869353
20,clean,0,7,7,1,0.7488763,0.9343518,7.6695065,-1.1920929e-07,1.0,0.44982645,0.24898162,0.08953306,0.35959563
21,clean,0,0,0,1,0.99422944,0.037673656,7.103878,1.2340024e-07,1.0,0.85162634,0.27396867,0.16490045,0.60189307
22,clean,0,4,4,1,0.9379266,0.29913837,12.928278,1.4901161e-08,1.0,0.31298637,0.11206661,0.015179672,0.13545102
23,clean,0,9,9,1,0.99779654,0.015703097,15.779417,2.165325e-08,1.0,0.3843048,0.23615249,0.122593,0.51912427
24,clean,0,5,4,0,0.57847196,0.9523678,9.225474,0.0,1.0,0.5503971,0.18189985,0.05724456,0.314702
25,clean,0,2,2,1,0.89172304,0.52288574,7.4242463,1.1920929e-07,1.0,0.43802854,0.20070925,0.07160665,0.35676628
26,clean,0,4,4,1,0.5643638,1.2549487,7.8458576,-5.9604645e-08,1.0,0.37997603,0.21552555,0.047871772,0.22211543
27,clean,0,0,0,1,0.98895174,0.074123465,8.05168,1.3969839e-08,1.0,0.5280791,0.23787886,0.07724006,0.32470196
28,clean,0,9,9,1,0.99673706,0.02213923,8.842663,-1.2572855e-08,1.0,0.50152934,0.25499114,0.118465856,0.46458626
29,clean,0,6,6,1,0.86338323,0.523919,8.107794,1.4901161e-08,1.0,0.3034799,0.17573924,0.050615072,0.28801072
30,clean,0,6,6,1,0.95855314,0.22705294,5.688203,1.2665987e-07,1.0,0.2378881,0.13789865,0.04032483,0.29242155
31,clean,0,5,5,1,0.94945276,0.23719697,11.318071,-1.1175871e-08,1.0,0.48948634,0.14943539,0.037066773,0.24804382
32,clean,0,4,4,1,0.7524132,0.87182635,11.611521,1.4901161e-07,1.0,0.5011757,0.12772408,0.059856106,0.46863237
33,clean,0,5,5,1,0.8730542,0.517771,9.530395,-4.4703484e-08,1.0,0.4639808,0.26201534,0.08891268,0.33934018
34,clean,0,9,9,1,0.99971205,0.0027559726,14.243158,-2.3312168e-08,1.0,0.38967398,0.23310675,0.0536417,0.23011547
35,clean,0,2,3,0,0.35234028,1.7545222,12.732935,1.1920929e-07,0.6666667,0.346598,0.23398401,0.07423792,0.3172764
36,clean,0,4,4,1,0.98589605,0.086248755,11.096184,-5.5879354e-09,1.0,0.47780204,0.15898035,0.05675407,0.35698572
37,clean,0,1,1,1,0.9020982,0.34481096,11.024761,3.7252903e-08,1.0,0.6492149,0.27214137,0.20252958,0.74420446
38,clean,0,9,9,1,0.9998325,0.0016467411,12.958088,-2.8026989e-08,1.0,0.5610945,0.22639875,0.12760323,0.56361914
39,clean,0,5,5,1,0.9986798,0.010284649,13.832078,-1.3574027e-07,1.0,0.50479347,0.20665523,0.0354359,0.17147268
40,clean,0,4,2,0,0.7676398,0.6826896,12.635928,-2.9802322e-08,0.6666667,0.52880925,0.2272339,0.09371039,0.41239437
41,clean,0,6,6,1,0.9998574,0.0016310543,9.875632,-2.0343577e-08,1.0,0.20287482,0.15475294,0.049222752,0.31807107
42,clean,0,5,5,1,0.60365486,1.208975,8.559047,0.0,1.0,0.345144,0.23105423,0.061868507,0.26776502
43,clean,0,6,6,1,0.98312956,0.1106151,12.993414,5.5879354e-09,1.0,0.37492728,0.20561084,0.05272004,0.25640565
44,clean,0,0,0,1,0.9990251,0.008045602,9.174383,-1.16822775e-07,1.0,0.47298685,0.26950774,0.049708795,0.18444224
45,clean,0,9,9,1,0.99935335,0.0054169465,16.358946,-1.1641532e-09,1.0,0.58710045,0.22960708,0.1006794,0.4384837
46,clean,0,3,3,1,0.93717486,0.2792729,8.4981165,1.2665987e-07,1.0,0.42075297,0.22128484,0.04127741,0.18653435
47,clean,0,9,1,0,0.5159431,1.26338,14.990649,0.0,0.33333334,0.4158484,0.17795047,0.06999251,0.3933236
48,clean,0,7,7,1,0.87704873,0.3853243,18.747147,8.940697e-08,1.0,0.4234273,0.14893268,0.046162076,0.30995056
49,clean,0,6,6,1,0.8635304,0.5198875,7.952495,-1.4901161e-08,1.0,0.3529284,0.1251325,0.03512189,0.28067538
50,clean,0,9,9,1,0.9989472,0.0100239385,9.639818,2.2817403e-08,1.0,0.44237518,0.2874072,0.0717235,0.24955271
51,clean,0,8,8,1,0.9987533,0.010668211,11.067303,-6.4028427e-09,1.0,0.39316022,0.17164035,0.047801066,0.27849388
52,clean,0,0,2,0,0.72968197,0.8739459,9.78861,-2.9802322e-08,1.0,0.31450295,0.19136193,0.03926968,0.20521048
53,clean,0,3,6,0,0.3719751,1.4974573,10.205997,0.0,0.33333334,0.35258117,0.21516961,0.06113484,0.28412265
54,clean,0,8,8,1,0.9989575,0.008226341,14.292813,-1.5017577e-08,1.0,0.5380566,0.28872833,0.07195609,0.24921641
55,clean,0,8,8,1,0.99910396,0.007391327,10.301208,-2.8696377e-08,1.0,0.5031479,0.14965601,0.035435308,0.2367768
56,clean,0,7,7,1,0.46947592,1.3028904,8.615767,0.0,1.0,0.46834913,0.26352635,0.13004772,0.4934885
57,clean,0,7,3,0,0.7401475,0.9019959,6.5728946,5.9604645e-08,1.0,0.20928566,0.23668517,0.028080108,0.11863857
58,clean,0,4,0,0,0.37850326,1.7109287,13.309776,0.0,0.33333334,0.5779055,0.14082709,0.08774677,0.6230772
59,clean,0,6,6,1,0.66504043,1.0709214,10.313111,-2.9802322e-08,1.0,0.50809336,0.1550409,0.049823225,0.3213533
60,clean,0,7,7,1,0.99773705,0.016859815,17.424833,1.124572e-07,1.0,0.56216043,0.18161874,0.09510783,0.52366465
61,clean,0,3,5,0,0.81305784,0.55331457,5.58139,-1.4901161e-08,1.0,0.38102403,0.22377773,0.04147108,0.18532181
62,clean,0,6,6,1,0.91408765,0.44000077,9.680694,0.0,1.0,0.23057216,0.22875114,0.053261254,0.2328339
63,clean,0,3,3,1,0.90208447,0.487279,8.655548,1.1175871e-07,1.0,0.48813954,0.30515668,0.080758266,0.26464438
64,clean,0,6,6,1,0.9883916,0.075793944,10.14832,-1.3969839e-07,1.0,0.42191842,0.15651077,0.06676344,0.42657137
65,clean,0,2,2,1,0.9686062,0.17707166,7.659057,-1.2293458e-07,1.0,0.33968422,0.17166397,0.079327025,0.46210375
66,clean,0,1,1,1,0.6183742,0.9130662,14.366774,-5.9604645e-08,1.0,0.4575368,0.21071292,0.07074138,0.33572236
67,clean,0,2,0,0,0.8395136,0.45396018,8.270215,-1.1920929e-07,0.33333334,0.65250975,0.23871006,0.09453979,0.3960428
