shift,severity,vision_accuracy,mean_trust_prob,raw_confidence_mean,failure_auroc,failure_auprc,ece,brier_score,retained_acc_80_trust,retained_risk_80_trust,retained_acc_80_conf,retained_risk_80_conf,selective_gain_80
clean,0,0.8125,0.8233904517936167,0.84429260139,0.8617890789743589,0.5700097881820285,0.03538820387870073,0.11084777861833572,0.90325,0.09675,0.8985,0.10150000000000003,0.004750000000000032
blur,1,0.7854,0.7972878642996967,0.814779677144,0.8541345539317142,0.5868723485177751,0.04004269556701183,0.12259601801633835,0.877625,0.12237500000000001,0.874,0.126,0.0036249999999999893
blur,2,0.499,0.6715420524996211,0.6846974855650001,0.7607488429953719,0.7202962879352299,0.17908028781861068,0.24069152772426605,0.564125,0.435875,0.5665,0.4335,-0.002375000000000016
blur,3,0.312,0.6210239029447208,0.639967669509,0.6968696425909362,0.8115727590088693,0.3104003226034343,0.3000544309616089,0.35425,0.64575,0.35175,0.64825,0.0025000000000000022
blur,4,0.3022,0.6064770432487904,0.628781316551,0.6939311391630953,0.8183945182018113,0.3064726700350642,0.29385659098625183,0.343625,0.6563749999999999,0.343875,0.6561250000000001,-0.00024999999999997247
blur,5,0.3033,0.5997875099768045,0.623523381796,0.6929377062825166,0.8190181412237252,0.2972741081304848,0.289497971534729,0.344,0.656,0.346375,0.653625,-0.002375000000000016
brightness,1,0.8096,0.8170379643100867,0.838912864344,0.8603852639128774,0.5697621477379665,0.037511404900252815,0.11271535605192184,0.89975,0.10024999999999995,0.894875,0.10512500000000002,0.004875000000000074
brightness,2,0.7937,0.806808950350833,0.826255279992,0.8595788049992088,0.5876988909358377,0.04026780123412609,0.11841332912445068,0.8855,0.11450000000000005,0.88275,0.11724999999999997,0.002749999999999919
brightness,3,0.7696,0.7880664253139875,0.802469129131,0.8471644157679313,0.5977213132199121,0.04146399290114641,0.1302153468132019,0.861125,0.13887499999999997,0.856375,0.143625,0.004750000000000032
brightness,4,0.7049,0.7420970811720046,0.753652105009,0.8249944631660288,0.6225897808438066,0.05185177314579487,0.1572703868150711,0.795,0.20499999999999996,0.795,0.20499999999999996,0.0
brightness,5,0.4956,0.5886808422271419,0.6116426605749999,0.7547620487730571,0.715432133556579,0.1143763496503234,0.21552172303199768,0.557125,0.442875,0.562875,0.437125,-0.005750000000000033
clean,0,0.8125,0.8233904517936167,0.84429260139,0.8617890789743589,0.5700097881820285,0.03538820387870073,0.11084777861833572,0.90325,0.09675,0.8985,0.10150000000000003,0.004750000000000032
contrast,1,0.809,0.814511629031675,0.8406498477740001,0.8616938370038636,0.5775206757360906,0.03570539797618985,0.11200591921806335,0.89925,0.10075,0.895625,0.104375,0.0036249999999999893
contrast,2,0.7937,0.7992067311518664,0.8306188696969999,0.8585433238766923,0.5857829062313413,0.04239202971607447,0.11852197349071503,0.88425,0.11575000000000002,0.881875,0.11812500000000004,0.002375000000000016
contrast,3,0.7601,0.7629824602468928,0.807142028698,0.8455266219276671,0.597031181089197,0.04316974327862262,0.13333222270011902,0.8525,0.14749999999999996,0.85175,0.14825,0.0007500000000000284
contrast,4,0.683,0.6775616440893958,0.7507887570089999,0.8049522657047448,0.6085377926242157,0.06048099778145552,0.16896489262580872,0.765625,0.234375,0.768875,0.23112500000000002,-0.003249999999999975
contrast,5,0.4515,0.4752420073428257,0.6340990276390001,0.7336050902945818,0.722759244908888,0.07977238796800375,0.21258322894573212,0.504875,0.49512500000000004,0.512375,0.487625,-0.007500000000000062
noise,1,0.6591,0.7409718159936894,0.769088190129,0.8105600946809651,0.6449416349691475,0.09903305609896779,0.18145251274108887,0.741,0.259,0.73575,0.26425,0.005249999999999977
noise,2,0.3727,0.6322138480455406,0.661754527789,0.7030100039474803,0.7574853223693184,0.2736291272804141,0.29154571890830994,0.41225,0.58775,0.40975,0.5902499999999999,0.0025000000000000022
noise,3,0.2373,0.5855540285800273,0.58802950867,0.6671902904882852,0.8416976290750808,0.3504174301028251,0.3150291442871094,0.2615,0.7384999999999999,0.260125,0.7398750000000001,0.001375000000000015
noise,4,0.1889,0.5843389234818205,0.541011516089,0.6393494472766332,0.8635794868619321,0.39638908372893933,0.3356369733810425,0.205,0.795,0.205875,0.794125,-0.0008750000000000147
noise,5,0.1725,0.6059379747017092,0.499090770626,0.6253880817899208,0.872395653218178,0.4336533242627978,0.357920378446579,0.187375,0.8126249999999999,0.187875,0.812125,-0.0004999999999999727
rotation,1,0.7698,0.7855739678408601,0.798138341402,0.8348227133814984,0.5894394680314508,0.03273738333582878,0.13228653371334076,0.861125,0.13887499999999997,0.85275,0.14725,0.008375000000000021
rotation,2,0.7135,0.7463974899854131,0.762029763085,0.8211048698070494,0.6398235955129583,0.04891576269492507,0.1526656448841095,0.808125,0.19187500000000002,0.79675,0.20325000000000004,0.011375000000000024
rotation,3,0.5967,0.6770724013916856,0.7020492317900001,0.7732449955871434,0.6740893363792366,0.09898851383179426,0.20182663202285767,0.676375,0.32362500000000005,0.666125,0.33387500000000003,0.010249999999999981
rotation,4,0.3126,0.7049254896541424,0.72646721625,0.6301474712264319,0.7846519100334002,0.392325498970598,0.39266204833984375,0.347,0.653,0.3305,0.6695,0.01649999999999996
rotation,5,0.3088,0.7089503581645765,0.714064673045,0.6140653016905344,0.7580007791570715,0.40444981299936766,0.4052870571613312,0.326625,0.6733750000000001,0.332625,0.667375,-0.006000000000000005
