target_coverage,coverage,retained_count,rejected_count,accuracy,risk,evaluator
1.0,1.0,10000,0,0.8125,0.1875,Phase 7 Trust Model (All Signals)
0.9,0.9,9000,1000,0.8626666666666667,0.1373333333333333,Phase 7 Trust Model (All Signals)
0.8,0.8,8000,2000,0.90325,0.09675,Phase 7 Trust Model (All Signals)
0.7,0.7,7000,3000,0.9338571428571428,0.06614285714285717,Phase 7 Trust Model (All Signals)
0.6,0.6,6000,4000,0.9565,0.04349999999999998,Phase 7 Trust Model (All Signals)
0.5,0.5,5000,5000,0.974,0.026000000000000023,Phase 7 Trust Model (All Signals)
1.0,1.0,10000,0,0.8125,0.1875,Best Ablation Model (No Quality)
0.9,0.9,9000,1000,0.8631111111111112,0.13688888888888884,Best Ablation Model (No Quality)
0.8,0.8,8000,2000,0.90425,0.09575,Best Ablation Model (No Quality)
0.7,0.7,7000,3000,0.9362857142857143,0.06371428571428572,Best Ablation Model (No Quality)
0.6,0.6,6000,4000,0.9566666666666667,0.043333333333333335,Best Ablation Model (No Quality)
0.5,0.5,5000,5000,0.9752,0.024800000000000044,Best Ablation Model (No Quality)
1.0,1.0,10000,0,0.8125,0.1875,Raw Confidence
0.9,0.9,9000,1000,0.8581111111111112,0.14188888888888884,Raw Confidence
0.8,0.8,8000,2000,0.8985,0.10150000000000003,Raw Confidence
0.7,0.7,7000,3000,0.9302857142857143,0.06971428571428573,Raw Confidence
0.6,0.6,6000,4000,0.9546666666666667,0.04533333333333334,Raw Confidence
0.5,0.5,5000,5000,0.9754,0.024599999999999955,Raw Confidence
