shift,severity,total_samples,accuracy,error_rate,average_confidence,avg_confidence_correct,avg_confidence_incorrect,num_incorrect,wrong_ge_080,wrong_ge_090,wrong_ge_095,frac_wrong_ge_080,frac_wrong_ge_090,frac_wrong_ge_095
clean,0,10000,0.8125,0.1875,0.84429260139,0.8922130400356924,0.6366373672586667,1875,468,243,116,0.2496,0.1296,0.06186666666666667
blur,1,10000,0.7854,0.2146,0.814779677144,0.8703814520435447,0.6112865084296365,2146,424,206,94,0.19757688723205966,0.09599254426840634,0.04380242311276794
blur,2,10000,0.499,0.501,0.6846974855650001,0.7821269133086172,0.5876569976526946,5010,706,250,97,0.1409181636726547,0.0499001996007984,0.019361277445109782
blur,3,10000,0.312,0.688,0.639967669509,0.7256306522532051,0.6011205029156977,6880,1053,257,71,0.15305232558139534,0.0373546511627907,0.010319767441860465
blur,4,10000,0.3022,0.6978,0.628781316551,0.7122174406816677,0.5926471854069935,6978,974,238,63,0.13958154198910863,0.03410719403840642,0.009028374892519347
blur,5,10000,0.3033,0.6967,0.623523381796,0.7060842393570722,0.5875815013621358,6967,930,233,71,0.1334864360556911,0.03344337591502799,0.010190899956939859
noise,1,10000,0.6591,0.3409,0.769088190129,0.8441317163359127,0.6239981692343797,3409,781,362,170,0.22909944265180404,0.10618949838662364,0.04986799647990613
noise,2,10000,0.3727,0.6273,0.661754527789,0.7508796876334854,0.6088022767543441,6273,1208,540,223,0.19257133747808067,0.08608321377331421,0.03554917902120198
noise,3,10000,0.2373,0.7627,0.58802950867,0.6746548495743785,0.5610776358542021,7627,939,288,82,0.12311524845942048,0.03776058738691491,0.010751278353218829
noise,4,10000,0.1889,0.8111,0.541011516089,0.6194831941079937,0.5227359643964986,8111,675,179,40,0.08322031808654913,0.022068795462951547,0.004931574405128838
noise,5,10000,0.1725,0.8275,0.499090770626,0.5726125612057972,0.48376447591299093,8275,458,96,14,0.05534743202416918,0.011601208459214502,0.0016918429003021148
brightness,1,10000,0.8096,0.1904,0.838912864344,0.8876372918614129,0.6317316851523109,1904,456,239,106,0.23949579831932774,0.1255252100840336,0.05567226890756303
brightness,2,10000,0.7937,0.2063,0.826255279992,0.8801975151241023,0.6187227932040718,2063,462,224,109,0.22394571013087736,0.10857973824527388,0.052835676199709164
brightness,3,10000,0.7696,0.2304,0.802469129131,0.8608332972739083,0.607516595264757,2304,457,221,110,0.19835069444444445,0.0959201388888889,0.04774305555555555
brightness,4,10000,0.7049,0.2951,0.753652105009,0.8263232362945099,0.5800638961199593,2951,483,208,83,0.16367333107421214,0.07048458149779736,0.028126058963063368
brightness,5,10000,0.4956,0.5044,0.6116426605749999,0.7117206842514124,0.5133106452418714,5044,403,99,18,0.07989690721649484,0.019627279936558287,0.0035685963521015066
contrast,1,10000,0.809,0.191,0.8406498477740001,0.8897828390037084,0.6325420472251309,1910,461,240,117,0.2413612565445026,0.1256544502617801,0.0612565445026178
contrast,2,10000,0.7937,0.2063,0.8306188696969999,0.8837348021746251,0.6262654251623849,2063,473,230,118,0.2292777508482792,0.11148812409112942,0.057198254968492485
contrast,3,10000,0.7601,0.2399,0.807142028698,0.8683083744204709,0.6133423647394749,2399,509,247,106,0.2121717382242601,0.10295956648603585,0.04418507711546478
contrast,4,10000,0.683,0.317,0.7507887570089999,0.8261760484787701,0.5883612488895898,3170,559,239,108,0.17634069400630914,0.07539432176656151,0.03406940063091483
contrast,5,10000,0.4515,0.5485,0.6340990276390001,0.7372371102945736,0.5492004965195989,5485,643,223,67,0.11722880583409298,0.0406563354603464,0.012215132178669097
rotation,1,10000,0.7698,0.2302,0.798138341402,0.8541213334437516,0.6109284922545613,2302,513,256,131,0.22284969591659426,0.11120764552562988,0.05690703735881842
rotation,2,10000,0.7135,0.2865,0.762029763085,0.8282597105536088,0.5970906094415358,2865,563,278,147,0.19650959860383943,0.09703315881326352,0.05130890052356021
rotation,3,10000,0.5967,0.4033,0.7020492317900001,0.7799992607340371,0.5867187525663278,4033,753,339,153,0.18670964542524177,0.084056533597818,0.03793701958839574
rotation,4,10000,0.3126,0.6874,0.72646721625,0.7737618181541907,0.7049596623436136,6874,2807,1821,1095,0.40835030549898166,0.2649112598196101,0.1592958975851033
rotation,5,10000,0.3088,0.6912,0.714064673045,0.7691525063601036,0.6894536734389468,6912,2638,1673,1025,0.3816550925925926,0.24204282407407407,0.14829282407407407
