shift,severity,vision_accuracy,mean_trust_prob,failure_auroc,failure_auprc,ece,brier_score
clean,0,0.8125,0.8233904517936167,0.8617890789743589,0.5700097881820285,0.03538820387870073,0.11084777861833572
blur,1,0.7854,0.7972878642996967,0.8541345539317142,0.5868723485177751,0.04004269556701183,0.12259601801633835
blur,2,0.499,0.6715420524996211,0.7607488429953719,0.7202962879352299,0.17908028781861068,0.24069152772426605
blur,3,0.312,0.6210239029447208,0.6968696425909362,0.8115727590088693,0.3104003226034343,0.3000544309616089
blur,4,0.3022,0.6064770432487904,0.6939311391630953,0.8183945182018113,0.3064726700350642,0.29385659098625183
blur,5,0.3033,0.5997875099768045,0.6929377062825166,0.8190181412237252,0.2972741081304848,0.289497971534729
brightness,1,0.8096,0.8170379643100867,0.8603852639128774,0.5697621477379665,0.037511404900252815,0.11271535605192184
brightness,2,0.7937,0.806808950350833,0.8595788049992088,0.5876988909358377,0.04026780123412609,0.11841332912445068
brightness,3,0.7696,0.7880664253139875,0.8471644157679313,0.5977213132199121,0.04146399290114641,0.1302153468132019
brightness,4,0.7049,0.7420970811720046,0.8249944631660288,0.6225897808438066,0.05185177314579487,0.1572703868150711
brightness,5,0.4956,0.5886808422271419,0.7547620487730571,0.715432133556579,0.1143763496503234,0.21552172303199768
contrast,1,0.809,0.814511629031675,0.8616938370038636,0.5775206757360906,0.03570539797618985,0.11200591921806335
contrast,2,0.7937,0.7992067311518664,0.8585433238766923,0.5857829062313413,0.04239202971607447,0.11852197349071503
contrast,3,0.7601,0.7629824602468928,0.8455266219276671,0.597031181089197,0.04316974327862262,0.13333222270011902
contrast,4,0.683,0.6775616440893958,0.8049522657047448,0.6085377926242157,0.06048099778145552,0.16896489262580872
contrast,5,0.4515,0.4752420073428257,0.7336050902945818,0.722759244908888,0.07977238796800375,0.21258322894573212
noise,1,0.6591,0.7409718159936894,0.8105600946809651,0.6449416349691475,0.09903305609896779,0.18145251274108887
noise,2,0.3727,0.6322138480455406,0.7030100039474803,0.7574853223693184,0.2736291272804141,0.29154571890830994
noise,3,0.2373,0.5855540285800273,0.6671902904882852,0.8416976290750808,0.3504174301028251,0.3150291442871094
noise,4,0.1889,0.5843389234818205,0.6393494472766332,0.8635794868619321,0.39638908372893933,0.3356369733810425
noise,5,0.1725,0.6059379747017092,0.6253880817899208,0.872395653218178,0.4336533242627978,0.357920378446579
rotation,1,0.7698,0.7855739678408601,0.8348227133814984,0.5894394680314508,0.03273738333582878,0.13228653371334076
rotation,2,0.7135,0.7463974899854131,0.8211048698070494,0.6398235955129583,0.04891576269492507,0.1526656448841095
rotation,3,0.5967,0.6770724013916856,0.7732449955871434,0.6740893363792366,0.09898851383179426,0.20182663202285767
rotation,4,0.3126,0.7049254896541424,0.6301474712264319,0.7846519100334002,0.392325498970598,0.39266204833984375
rotation,5,0.3088,0.7089503581645765,0.6140653016905344,0.7580007791570715,0.40444981299936766,0.4052870571613312
