config_name,model_type,num_features,features_used,failure_auroc,failure_auprc,ece,brier_score,precision_at_0.5,recall_at_0.5,f1_at_0.5
H. Without image quality,rf,5,"confidence, entropy, feature_distance, ood_score, augmentation_consistency",0.8674228512820512,0.5746908559347782,0.012189103275537492,0.10745757073163986,0.6382153249272551,0.3509333333333333,0.452856159669649
A. All signals,rf,9,"confidence, entropy, feature_distance, ood_score, augmentation_consistency, sharpness, brightness, contrast, composite_quality",0.8668787856410256,0.5708062534752689,0.012148726618289946,0.10774388164281845,0.6359918200408998,0.3317333333333333,0.43603224675779884
F. Without OOD score,rf,8,"confidence, entropy, feature_distance, augmentation_consistency, sharpness, brightness, contrast, composite_quality",0.8661631343589744,0.568540302777285,0.015051860451698302,0.10810536891222,0.6496746203904555,0.3194666666666667,0.42831605291383623
K. Confidence + entropy + feat distance + aug consistency,rf,4,"confidence, entropy, feature_distance, augmentation_consistency",0.865968278974359,0.5724125432235236,0.012702735416591168,0.10788977146148682,0.631376323387873,0.34986666666666666,0.45024021962937544
E. Without feature distance,rf,8,"confidence, entropy, ood_score, augmentation_consistency, sharpness, brightness, contrast, composite_quality",0.8648343630769231,0.5586018931329877,0.013524278241395949,0.10880351811647415,0.6319148936170212,0.3168,0.42202486678507994
C. Without confidence,rf,8,"entropy, feature_distance, ood_score, augmentation_consistency, sharpness, brightness, contrast, composite_quality",0.8646203076923078,0.5737639398485445,0.029037641069293022,0.10900749266147614,0.6595744680851063,0.2810666666666667,0.39416604338070305
J. Confidence + entropy + aug consistency,rf,3,"confidence, entropy, augmentation_consistency",0.8639134194871795,0.5631369055791167,0.0121199204698205,0.10867298394441605,0.6212962962962963,0.35786666666666667,0.4541455160744501
D. Without entropy,rf,8,"confidence, feature_distance, ood_score, augmentation_consistency, sharpness, brightness, contrast, composite_quality",0.8638721641025641,0.5767551413863741,0.031337703965604306,0.10919709503650665,0.6609756097560976,0.2890666666666667,0.4022263450834879
G. Without augmentation consistency,rf,8,"confidence, entropy, feature_distance, ood_score, sharpness, brightness, contrast, composite_quality",0.8565458051282052,0.5300655849181886,0.01763613341152668,0.11174070835113525,0.5967926689576174,0.27786666666666665,0.3791848617176128
I. Confidence + entropy only,rf,2,"confidence, entropy",0.8529449025641025,0.5190858818296314,0.018128478914499282,0.11323967576026917,0.5791907514450867,0.2672,0.3656934306569343
B. Confidence only,rf,1,confidence,0.8528971487179487,0.5206995884513784,0.015791813483834266,0.11310640722513199,0.5949214026602176,0.2624,0.36417468541820874
