true_label,true_class,predicted_label,predicted_class,count,average_confidence
3,cat,5,dog,120,0.5866403730833334
8,ship,0,airplane,114,0.7475070809649123
5,dog,3,cat,104,0.5982770461538461
4,deer,2,bird,95,0.6811559910526316
5,dog,2,bird,93,0.6721277778494623
2,bird,0,airplane,93,0.7780581896774196
9,truck,1,automobile,90,0.740860632111111
7,horse,2,bird,78,0.5989573443589743
3,cat,2,bird,77,0.6357405602597401
7,horse,4,deer,70,0.6064279132857143
3,cat,6,frog,66,0.655700666969697
6,frog,2,bird,57,0.6789765624561405
7,horse,5,dog,51,0.5521936935294117
9,truck,0,airplane,48,0.7065617166666667
7,horse,0,airplane,40,0.63645847275
7,horse,3,cat,37,0.4690724748648649
3,cat,4,deer,37,0.6853279145945945
5,dog,4,deer,36,0.6960111127777776
2,bird,4,deer,36,0.6441491963888888
2,bird,6,frog,35,0.5503826134285715
3,cat,0,airplane,32,0.6230913359375
4,deer,6,frog,30,0.6478972206666669
6,frog,3,cat,26,0.6003413573076922
2,bird,3,cat,25,0.534967872
4,deer,5,dog,20,0.516819541
0,airplane,2,bird,20,0.6739559505
8,ship,2,bird,19,0.5204905489473685
4,deer,3,cat,18,0.5268093199999999
1,automobile,0,airplane,17,0.7241762023529411
6,frog,0,airplane,16,0.63517026125
8,ship,1,automobile,16,0.6226941625
4,deer,0,airplane,16,0.67493240625
0,airplane,8,ship,14,0.6679341400000001
6,frog,4,deer,14,0.6416432435714287
2,bird,5,dog,13,0.5903854869230769
6,frog,5,dog,11,0.53340316
1,automobile,9,truck,11,0.7363785245454545
5,dog,0,airplane,11,0.6152424627272727
5,dog,6,frog,10,0.585380819
8,ship,9,truck,10,0.5424228310000001
5,dog,7,horse,10,0.42442575099999996
4,deer,7,horse,10,0.57303474
8,ship,6,frog,9,0.49797654777777783
3,cat,7,horse,8,0.573784455
9,truck,8,ship,8,0.5407604225
9,truck,3,cat,6,0.5491384166666667
8,ship,5,dog,6,0.42672347
0,airplane,1,automobile,6,0.7000542283333333
0,airplane,6,frog,5,0.610011674
0,airplane,3,cat,5,0.4434258379999999
3,cat,8,ship,5,0.642415228
9,truck,2,bird,5,0.400896028
1,automobile,8,ship,5,0.594161632
1,automobile,6,frog,5,0.55892045
0,airplane,4,deer,5,0.6491314
0,airplane,9,truck,5,0.732767634
1,automobile,3,cat,3,0.53169733
9,truck,6,frog,3,0.40732680000000004
8,ship,4,deer,3,0.57763811
1,automobile,2,bird,3,0.5949106933333334
2,bird,8,ship,3,0.3667526266666667
7,horse,9,truck,3,0.53419165
3,cat,9,truck,3,0.2591947266666667
7,horse,6,frog,2,0.33780973000000003
0,airplane,7,horse,2,0.6002756300000001
4,deer,1,automobile,2,0.45910501
8,ship,3,cat,2,0.51993314
9,truck,5,dog,2,0.53781451
7,horse,8,ship,2,0.5218203
2,bird,7,horse,2,0.49243601000000004
1,automobile,4,deer,1,0.1781634
3,cat,1,automobile,1,0.60288405
2,bird,9,truck,1,0.4282232
5,dog,9,truck,1,0.45442238
4,deer,9,truck,1,0.72658104
4,deer,8,ship,1,0.5464365
6,frog,9,truck,1,0.34603366
7,horse,1,automobile,1,0.9038519
6,frog,1,automobile,1,0.2792244
6,frog,8,ship,1,0.5402813
9,truck,7,horse,1,0.6003368
